Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,triangles
Alice Margatroid,Alice Margatroid,,57,877,3,0.590909,0.655678,0.045568,0.023674,0.285714,456
Aunn Komano,Aunn Komano,,4,17,4,0.461929,0.480311,0.000126,0.001301,0.5,3
Aya Shameimaru,Aya Shameimaru,,70,526,3,0.616949,0.691392,0.045061,0.016596,0.270807,654
Ayana,Ayana,,4,4,5,0.352031,0.372894,0.00021,0.001143,0.166667,1
Beerko,Beerko,,3,3,4,0.367677,0.386905,0.000061,0.000922,0,0
Benben Tsukumo,Benben Tsukumo,,12,16,4,0.478947,0.507784,0.000991,0.001644,0.606061,40
Bewitching Lotus Flower,Bewitching Lotus Flower,,2,2,4,0.450495,0.467491,0,0.000869,1,1
Bishamonten,Bishamonten,,6,127,4,0.383158,0.410714,0.000144,0.00502,0.533333,8
Byakuren Hijiri,Byakuren Hijiri,,38,285,4,0.524496,0.585623,0.011811,0.010428,0.314367,221
Chang'e,Chang'e,,8,99,4,0.457286,0.483974,0.000062,0.003945,0.857143,24
Chen,Chen,,24,200,3,0.52149,0.557692,0.009575,0.006258,0.51087,141
Chiyuri Kitashirakawa,Chiyuri Kitashirakawa,,6,7,4,0.460759,0.483059,0.000054,0.001261,0.733333,11
Cirno,Cirno,,45,776,3,0.563467,0.619963,0.044023,0.024497,0.311111,308
Clownpiece,Clownpiece,,17,114,3,0.47769,0.515568,0.001663,0.004451,0.470588,64
Daiyousei,Daiyousei,,13,93,3,0.484043,0.512821,0.001323,0.003751,0.487179,38
Dark Mirror,Dark Mirror,,7,28,4,0.463104,0.486722,0.001654,0.002278,0.285714,6
Doremy Sweet,Doremy Sweet,,19,158,4,0.489247,0.52793,0.002065,0.006004,0.497076,85
Dragon (God),Dragon (God),,18,63,4,0.494565,0.529762,0.000635,0.002946,0.588235,90
Eika Ebisu,Eika Ebisu,,2,2,4,0.36255,0.379121,0.010188,0.002403,0,0
"Eiki Shiki, Yamaxanadu","Eiki Shiki, Yamaxanadu",,21,168,3,0.50838,0.543956,0.00346,0.005503,0.547619,115
Eirin Yagokoro,Eirin Yagokoro,,35,350,3,0.541667,0.589744,0.011572,0.011164,0.435294,259
Elis,Elis,,10,15,4,0.466667,0.494963,0.001705,0.003243,0.333333,15
Ellen,Ellen,,5,10,4,0.4375,0.461996,0.000063,0.001336,0.7,7
Elly,Elly,,5,9,4,0.458438,0.479396,0.000019,0.001174,0.9,9
Eternity Larva,Eternity Larva,,8,36,4,0.395652,0.427198,0.000149,0.001868,0.642857,18
Fairy Maid,Fairy Maid,,14,83,3,0.457286,0.494505,0.001024,0.003266,0.549451,50
Five Magic Stones,Five Magic Stones,,5,13,4,0.449383,0.47207,0.000014,0.001208,0.8,8
Flandre Scarlet,Flandre Scarlet,,20,59,4,0.504155,0.539835,0.001295,0.002412,0.584211,111
